Product ID,Survived_pred,Prob_surv
L50896,0,0.0021015403785197622
L53866,0,0.0010394378087287737
L50498,0,0.00256330728949116
M21232,0,0.002772548204351883
M19751,0,0.0034261642804311733
L49438,0,0.002564371512549826
L50286,0,0.0037046733536594623
L52589,0,0.005041501002152451
H37110,0,0.0013006197409130063
L54886,0,0.001223807063732613
L53059,0,0.0023854825144161516
L53774,0,0.002075621437372638
L55446,0,0.001173473051616047
L53162,0,0.001809266722478707
H39207,0,0.0027332131765474632
L54230,0,0.005456925270674189
L53281,0,0.001007633626983557
L52914,1,0.9925737482923483
L54235,0,0.002396893061222592
L55097,0,0.0019374329025084844
L53941,0,0.005476986747770296
L49385,0,0.0039959248207986795
L54008,0,0.021149403026718968
L53337,0,0.022558170135046584
L53866,0,0.003807871663727534
M23754,0,0.001413491054464833
L54839,0,0.0018253494580089513
L52311,0,0.007248347787403663
M17660,0,0.005935733214599645
L52702,0,0.004776477569288021
M19157,0,0.0031994336087155712
L54272,0,0.0027388703321803804
L53789,0,0.0011467446384251748
L49054,0,0.01779349835597057
H33443,0,0.0020760461454372983
L55348,0,0.0033899065444099054
L48284,0,0.0014937229717449387
L50888,0,0.001870893642937278
L57029,0,0.0012666870517101636
M18281,0,0.0025258736975112663
L53358,0,0.0013308655789832661
L53158,0,0.0027615152671997345
L51621,0,0.008501869557261166
L50200,0,0.006893810591118874
L56242,0,0.00240860937302214
L55123,0,0.002448360872549553
M18047,0,0.0028012231801860157
H33435,0,0.006625733839415008
L52866,0,0.002364348027158801
L48859,0,0.0019995223138307996
M23560,0,0.0012321281491192019
L56672,0,0.006662772677508717
L50999,0,0.0022048161967756184
L52832,0,0.033066662254664286
M17973,0,0.0027835607583303447
L49757,0,0.0010077119844886732
M17487,0,0.0012780734121293582
L54766,0,0.0024594515963583365
L56111,0,0.0014544632656544906
L50085,0,0.0040290553960323555
L56257,0,0.0010976873999573812
L52701,0,0.024039133526699674
L49192,0,0.0034637750834315304
L47452,0,0.0030279425729958166
L54361,0,0.0032781588619410795
L47371,0,0.001050419051776503
L55951,0,0.0028215179154043564
L52628,0,0.004773356343833753
H32498,0,0.0025205328512733324
L56649,0,0.010197086605325366
L49385,0,0.001311845491997025
M15776,0,0.0006181536711843524
L55435,0,0.001607777692032622
H34591,0,0.006471688076877955
M19563,0,0.002567579852364882
L48576,0,0.0012516794290524339
L52330,0,0.0010798462382088992
L56970,0,0.0027842998899845614
M15252,0,0.0006738787298257719
L49527,0,0.000985051877394811
M16982,0,0.0035011082247355216
L47297,0,0.001536849064799361
L50606,0,0.01008765647589108
M16370,0,0.0007933187819967751
H33781,0,0.006600026903025863
L56397,0,0.0020555928482536476
M21483,0,0.002101231087932704
L57070,0,0.003581653388203981
M16052,0,0.0015917121364050952
L54577,0,0.0016358458865447733
M24851,0,0.002515910511846118
M19041,0,0.001652973028082847
L55508,0,0.0018460849852322985
L56192,0,0.0031542554841592855
L56161,0,0.0011586788746798353
L56536,0,0.0012989023571989477
H32205,0,0.005354212276436722
L49730,0,0.005652817404298206
L50199,0,0.007147818235140189
H38244,0,0.0012363049884795846
L53561,0,0.00598238434688573
M22001,0,0.002637058434286382
L55669,0,0.003679752452747255
M17794,0,0.0032574335824454587
M21371,0,0.0026086674363866072
L55232,0,0.0005514598882430149
L55275,0,0.0029037958405358933
M18375,0,0.0020310153589977445
L54514,0,0.0009220797296526726
L55334,0,0.0059428773096130575
L56947,0,0.0013057713933328327
L50157,0,0.0019104958335247105
L54505,0,0.0008184949260039499
L53676,0,0.004019049275068532
L54207,0,0.007523549152300139
M21304,0,0.002046055940946983
H36114,0,0.005108807631610257
M17132,0,0.0006450427768523668
L52995,0,0.0031639847867094566
L53986,0,0.0022698994655603213
M18784,0,0.0018256001659239364
M17132,0,0.005943352285925016
H38289,0,0.0016947776605846902
L55218,0,0.0016806235675790307
L55779,0,0.0013699217007507958
L54810,0,0.003307667585132217
L54222,0,0.014739142004085319
H34462,0,0.00790186006494598
L55218,0,0.004544378697050331
L53135,0,0.0040534231939037026
L56170,0,0.002786195485674622
L50587,0,0.0046787000828065976
H34783,0,0.009405368733665534
M24538,0,0.001936754625825466
L48817,0,0.002667067829273243
L48894,0,0.0014501177552486352
L51740,0,0.01596241764439921
L53245,0,0.0012216984778665933
L56007,0,0.005365774891411911
L52052,0,0.003552947834192039
L49953,0,0.004021799984565777
M15169,0,0.0008395182469249811
M19264,0,0.0050442607796394616
L52562,0,0.0038363484089806677
L55619,0,0.00163074179373086
L53152,0,0.005796232116910996
L47922,0,0.0015857536849506525
L49680,0,0.00504742897182213
L50166,0,0.004800342565976504
M15924,0,0.0013491743869398427
L57008,0,0.006728765841595069
M21993,0,0.0012897708016531202
M24201,0,0.0011057154167307156
L54209,0,0.0011736990152890925
L53824,0,0.0011983217029491624
L56041,0,0.0020685568162389398
L55016,0,0.004497320281026567
L49941,0,0.05468183899914379
M15586,0,0.0009313274653250486
L53585,0,0.005634741469655016
L52846,0,0.0026277847622470664
M14882,0,0.0014711409871199334
M20841,0,0.0033011412186428803
L54828,0,0.009843157836229898
M23185,0,0.005381292856054369
M22511,0,0.0005611075139226307
L47465,0,0.0015614965820998784
L53620,0,0.0012232096731509112
L56162,0,0.0015325567512695947
L54253,0,0.005288326185741418
L48325,0,0.0024687429250481114
L56822,0,0.002060879336198344
M17778,0,0.004041561543307294
L57160,0,0.006470018975103232
H31955,0,0.003297257005660566
M17043,0,0.0010544440160197323
L49868,0,0.0060916402002016545
L54170,0,0.002469583708902322
L49210,0,0.0033940329620285262
L53004,0,0.0027271233950960407
M21924,0,0.004601005396799863
L48726,0,0.005080932525286597
M23130,0,0.0011253756033990335
M23527,0,0.0019408174446005095
L47892,0,0.003041498769853026
L50573,0,0.0008941782594026408
L55483,0,0.0007905413979404425
M21288,0,0.0013433973268411681
L53730,0,0.009544345094095604
L49662,0,0.0017506952082162624
L57001,0,0.0018568634631343762
L56059,0,0.00175712404032561
H39336,0,0.003273674072269109
H36399,0,0.0020110942989830004
L47416,0,0.0010391595505608636
M23751,0,0.0014773303222792183
L55695,0,0.0038953548552967034
M22710,0,0.0003720883985614937
L50039,0,0.003356503282443859
M19160,0,0.002583263384543311
M20933,0,0.00040564128660903906
M21922,0,0.0010688467884240511
L56376,0,0.006579854873678039
L55763,0,0.003866014915805219
L55950,0,0.001703697055998121
M20212,0,0.0015271392596438978
L49855,0,0.01227093357694465
L51769,0,0.012447656459817656
L56352,0,0.0034752836181267117
H36250,1,0.9962917638900027
H31072,0,0.005844390853587195
L51183,0,0.011772044644308791
M17626,0,0.0018816136844862375
L47333,0,0.002001338564742988
L50408,0,0.0366005349009309
L54368,0,0.0010237410593514555
L55230,0,0.0011288186985583186
H39169,0,0.001011236879895614
L49573,0,0.010575757727736895
L52110,0,0.01786568382625279
L49085,0,0.0020195733148726976
L50553,0,0.004925268771007513
L57118,0,0.0009899135110627445
L51575,1,0.9875497760676681
L51137,0,0.0015935074910238105
L47435,0,0.0017320173296308066
L56906,0,0.005574419375659525
L53478,0,0.004361441405793939
L55583,0,0.004226550716918434
L53554,0,0.0016800863528424468
L56403,0,0.0023169045299374674
L50966,0,0.0016594801384504133
L53770,0,0.004122558164539649
L53271,0,0.011724276138506686
L52888,0,0.002612255970009043
L50342,0,0.017174911468781473
L56101,0,0.0016290239864688158
M23604,0,0.0004197689667701866
L47319,0,0.016897883634786552
L50821,0,0.0033555271862389787
L56667,0,0.0025831892663734195
L53162,0,0.004718570268138436
L55512,0,0.00197820544295982
L49957,0,0.002004312472260332
M23294,0,0.0013291432706315288
M22987,0,0.0006629377275049477
L51220,0,0.0028633072119164235
L53263,0,0.0029042571251098846
H30090,0,0.0036488327232403798
M23169,0,0.001267791526234107
H38897,0,0.0023185979744193156
